Date,Time,AP1,AP2,AP3,AP4,AP5,AV1,AV2,AV3,AV4,AV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5
20122018,08:30:42:000000,284.25,284.26,284.27,284.28,284.29,1,800,100,1,300,284.22,284.21,284.2,284.19,284.18,100,1,125,1,600
20122018,08:30:43:000000,284.33,284.34,284.35,284.36,284.37,900,100,1,300,200,284.3,284.29,284.28,284.27,284.26,800,700,300,800,800
20122018,08:30:44:000000,284.33,284.34,284.35,284.36,284.37,900,100,1,300,200,284.3,284.29,284.28,284.27,284.26,800,700,300,800,800
20122018,08:30:45:000000,284.36,284.37,284.38,284.39,284.4,100,1,100,1,200,284.33,284.32,284.31,284.3,284.29,800,1,100,300,800
20122018,08:30:46:000000,284.39,284.4,284.41,284.42,284.43,1,400,1,200,200,284.36,284.35,284.34,284.33,284.32,300,400,1,100,800
20122018,08:30:47:000000,284.37,284.38,284.39,284.4,284.41,1,800,1,800,600,284.34,284.33,284.32,284.31,284.3,400,1,100,300,800
20122018,08:30:48:000000,284.34,284.35,284.36,284.37,284.38,100,1,800,1,600,284.32,284.31,284.3,284.29,284.28,100,1,100,600,800
20122018,08:30:49:000000,284.39,284.4,284.41,284.42,284.43,500,1,900,300,200,284.36,284.35,284.34,284.33,284.32,800,1,100,300,300
20122018,08:30:50:000000,284.39,284.4,284.41,284.42,284.43,500,1,900,300,200,284.36,284.35,284.34,284.33,284.32,900,1,100,300,800
20122018,08:30:51:000000,284.42,284.43,284.44,284.45,284.46,1,100,1,300,300,284.39,284.38,284.37,284.36,284.35,400,1,100,800,300
20122018,08:30:52:000000,284.43,284.44,284.45,284.46,284.47,500,1,100,1,300,284.4,284.39,284.38,284.37,284.36,400,1,100,300,800
20122018,08:30:53:000000,284.42,284.43,284.44,284.45,284.46,1,100,1,300,600,284.39,284.38,284.37,284.36,284.35,900,900,800,800,800
20122018,08:30:54:000000,284.43,284.44,284.45,284.46,284.47,100,1,300,800,300,284.4,284.39,284.38,284.37,284.36,100,900,1,600,1
20122018,08:30:55:000000,284.43,284.44,284.45,284.46,284.47,1,200,1,800,600,284.4,284.39,284.38,284.37,284.36,100,900,1,100,200
20122018,08:30:56:000000,284.43,284.44,284.45,284.46,284.47,100,1,600,300,600,284.4,284.39,284.38,284.37,284.36,100,900,1,100,300
20122018,08:30:57:000000,284.42,284.43,284.44,284.45,284.46,600,1,500,1,200,284.4,284.39,284.38,284.37,284.36,100,800,1,100,800
20122018,08:30:58:000000,284.43,284.44,284.45,284.46,284.47,600,800,1,200,600,284.41,284.4,284.39,284.38,284.37,800,1,100,800,300
20122018,08:30:59:000000,284.44,284.45,284.46,284.47,284.48,1,400,1,600,300,284.41,284.4,284.39,284.38,284.37,500,900,900,800,300
20122018,08:31:00:000000,284.44,284.45,284.46,284.47,284.48,1,100,1,600,300,284.41,284.4,284.39,284.38,284.37,200,900,1,500,800
20122018,08:31:01:000000,284.45,284.46,284.47,284.48,284.49,100,1,800,800,300,284.42,284.41,284.4,284.39,284.38,200,200,1,100,1
20122018,08:31:02:000000,284.4,284.41,284.42,284.43,284.44,1,800,200,1,925,284.37,284.36,284.35,284.34,284.33,100,1,100,1,100
20122018,08:31:03:000000,284.45,284.46,284.47,284.48,284.49,1,400,1,300,200,284.42,284.41,284.4,284.39,284.38,600,1,25,1,100
20122018,08:31:04:000000,284.44,284.45,284.46,284.47,284.48,1,300,1,800,400,284.41,284.4,284.39,284.38,284.37,100,800,1,600,300
20122018,08:31:05:000000,284.42,284.43,284.44,284.45,284.46,100,1,300,800,600,284.39,284.38,284.37,284.36,284.35,200,900,1,100,300
20122018,08:31:06:000000,284.43,284.44,284.45,284.46,284.47,1,900,700,800,300,284.4,284.39,284.38,284.37,284.36,900,600,800,800,300
20122018,08:31:07:000000,284.39,284.4,284.41,284.42,284.43,100,1,800,800,800,284.36,284.35,284.34,284.33,284.32,100,1,400,600,300
20122018,08:31:08:000000,284.41,284.42,284.43,284.44,284.45,100,1,800,800,300,284.37,284.36,284.35,284.34,284.33,800,1,600,800,300
20122018,08:31:09:000000,284.41,284.42,284.43,284.44,284.45,100,1,600,800,300,284.38,284.37,284.36,284.35,284.34,500,900,1,300,1
20122018,08:31:10:000000,284.41,284.42,284.43,284.44,284.45,1,800,100,1,300,284.38,284.37,284.36,284.35,284.34,100,1,100,1,100
20122018,08:31:11:000000,284.41,284.42,284.43,284.44,284.45,1,800,100,1,300,284.38,284.37,284.36,284.35,284.34,100,1,100,1,100
20122018,08:31:12:000000,284.46,284.47,284.48,284.49,284.5,1,600,1,300,200,284.43,284.42,284.41,284.4,284.39,1,25,900,700,800
